action,slot,label,x,y,z,z_lift
pickup,1,상판,0.5,0.5,4.0,2.0
pickup,2,다리,0.1,1.0,4.5,3.0
pickup,3,바퀴,0.0,0.8,4.5,3.0
pickup,4,tool박스,0.0,0.5,4.5,8.0
pickdown,1,상판,9.5,4.0,10.0,2.0
pickdown,2,다리,6.0,0.0,10.0,3.0
pickdown,3,바퀴,9.0,0.0,10.0,3.0
pickdown,4,tool박스,12.0,0.0,10.0,3.0
