Slot,Label,X(mm),Y(mm),Z(mm),R(°),P(°),Y(°)
P1,픽업존,-7.028017387590797,1.3547671332078774,23.78790166265796,10.621295054433583,-60.5280830255095,111.29101674228153
P2,포장존,-0.12574019119900998,9.066492697211029,20.70609223281523,5.336397178430305,-79.4187580524125,38.25797091596581
P3,출고존,66.3,-58.7,363.3,-120.36,2.94,-84.2
P4,박스,11.380342268673735,16.966655843235092,10.305309180542507,0.28215247762030193,-94.42920589522186,-89.71581836761754
P5,----,-0.2065471420673301,15.866552585452501,14.25501414811681,-0.4423355064773568,-89.56918711010607,84.88933458734738
P6,----,11.4,-83.0,344.6,-101.53,0.75,-30.78
P7,픽업후,-6.4809675077477635,5.149550312978005,34.10936584021732,-1.9230456206247435,-14.433703784656451,93.9946654722325
P8,패킹후,3.683202176942201,15.16417464787179,35.14806124550379,-0.2033686807825901,0.11451514758045134,9.751437603786293
