Slot,Label,X(mm),Y(mm),Z(mm),R(°),P(°),Y(°)
P1,10시픽업,11.086259308185967,7.216040995480682,16.582668058679683,4.546372940228438,-66.01602855329786,-39.3790874549667
P2,2시픽업,-16.023447705740637,31.8479366618881,9.842786559310568,5.887221193342806,-34.39584466131881,41.57092197032227
P3,8시픽업,-6.400770735377711,11.093218587796981,15.714384022641198,2.3175717175670343,-57.75523047487114,51.42560195942329
P4,4시픽업,-9.576894223074225,-5.878428567509928,14.596300997844642,7.032156127069051,-62.81234520718431,145.10566078870278
P5,12시픽다운,-26.259260915932973,6.248476559607037,15.334519601891843,3.8048445176622994,-71.1880851702482,82.64171250530082
P6,9시픽다운,0.15048577953516024,24.830902526158095,5.2591978086926,-1.5297488305550488,-90.56781380284457,0.10866994999426473
P7,6시픽다운,19.6121447538933,-2.88535541209321,23.84929535926973,2.614506702863479,-59.91438622356147,-98.93255938949224
P8,예비,4.728113368731602,11.45372977990751,32.62462808873314,1.1357601242077642,3.094856673621531,5.8460279010646525
